Abb.,EV's,Name,Partisan Lean,Trump,Biden,Region,Elasticity
AL,9,Alabama,27,55.4,40.1,Gulf Coast,0.81
AK,3,Alaska,15,49.3,38.7,Big Sky,1.07
AZ,11,Arizona,9,47.4,44.2,Southwest,1.07
AR,6,Arkansas,24,59.9,35.5,Highlands,1.02
CA,55,California,-24,31.4,61.2,Pacific,0.96
CO,9,Colorado,-1,37.8,55.2,Southwest,1.09
CT,7,Connecticut,-11,37.1,58.3,New England,1.09
DE,3,Delaware,-19,37.5,59,Acela,0.9
DC,3,District of Columbia,-79,4.5,90.5,Acela,0.62
FL,29,Florida,5,42.6,48.9,South Coast,1.04
GA,16,Georgia,12,45.9,47.7,South Coast,0.84
HI,4,Hawaii,-36,25.4,69.2,Pacific,1.15
ID,4,Idaho,35,61.8,31.3,Big Sky,1.1
IL,20,Illinois,-13,37,59.4,North Central,0.98
IN,11,Indiana,20,54.5,42,Rust Belt,1
IA,6,Iowa,6,45.8,45.8,North Central,1.13
KS,6,Kansas,23,50.7,41.9,Prairie,1.04
KY,8,Kentucky,23,55.8,38.8,Highlands,1
LA,8,Louisiana,17,58.1,38.5,Gulf Coast,0.93
ME,2,Maine,-5,40.8,52.5,New England,1.17
ME 1st,1,Maine-01,-14.87,35.4,59.3,New England,1.25
ME 2nd,1,Maine-02,6.13,47,46.9,New England,1.09
MD,10,Maryland,-23,32.4,63.8,Acela,0.87
MA,11,Massachusetts,-29,30.4,63.1,New England,1.17
MI,16,Michigan,-1,40.3,50.1,Rust Belt,1.03
MN,10,Minnesota,-2,42.4,51.7,North Central,1.01
MS,6,Mississippi,15,55.3,41.9,Gulf Coast,0.79
MO,10,Missouri,19,51,44,Highlands,1.01
MT,3,Montana,18,52.7,39.9,Big Sky,1.05
NE,2,Nebraska,24,58.2,36.8,Prairie,1.02
NE 1st,1,Nebraska-01,19.83,56.4,38.5,Prairie,0.97
NE 2nd,1,Nebraska-02,3.9,48.3,47,Prairie,1.06
NE 3rd,1,Nebraska-03,50.8,72.6,22.7,Prairie,1.03
NV,6,Nevada,1,40.1,48.8,Southwest,1.08
NH,4,New Hampshire,2,41.9,50.2,New England,1.28
NJ,14,New Jersey,-13,34.4,56.3,Acela,1.04
NM,5,New Mexico,-7,38.8,55.7,Southwest,1.09
NY,29,New York,-17,32.3,58.7,Acela,0.96
NC,15,North Carolina,5,44.6,47.7,South Coast,0.94
ND,3,North Dakota,33,61.2,32.4,Prairie,1.11
OH,18,Ohio,7,45.6,48.2,Rust Belt,1.02
OK,7,Oklahoma,34,63.8,33.9,Highlands,0.93
OR,7,Oregon,-9,39.1,50.1,Pacific,1.07
PA,20,Pennsylvania,1,42,49.6,Rust Belt,0.97
RI,4,Rhode Island,-26,34.9,59.8,New England,1.26
SC,9,South Carolina,17,50.1,42.9,South Coast,0.88
SD,3,South Dakota,31,59.6,36,Prairie,1.03
TN,11,Tennessee,28,51.9,41.1,Highlands,0.98
TX,38,Texas,17,47.3,46,Gulf Coast,1.02
UT,6,Utah,31,46.3,38.5,Big Sky,1.02
VT,3,Vermont,-24,27.4,65,New England,1.23
VA,13,Virginia,0,39.6,50.9,South Coast,0.92
WA,12,Washington,-12,33.6,58.7,Pacific,1.06
WV,5,West Virginia,30,63.1,33.6,Highlands,1.1
WI,10,Wisconsin,1,41.4,49.6,North Central,1.06
WY,3,Wyoming,48,67.2,26,Big Sky,0.95
