"Date","FinalPredictedTrump","FinalPredictedBiden","FinalPredictedOther","TrumpStateWinProb","BidenStateWinProb","OtherStateWinProb","TrumpNPV","BidenNPV","OtherNPV","LowTrump","HighTrump","LowBiden","HighBiden","LowOther","HighOther"
"2020-07-26 0:38:00",200.3,337.7,0,16.2,83.3,0,44.6,52.7,2.7,144,259,279,394,0,0
"2020-07-26 0:39:00",200.3,337.7,0,16.2,83.3,0,44.6,52.7,2.7,144,259,279,394,0,0
"2020-07-26 0:40:00",197.2,340.8,0,13.2,86.8,0,44.6,52.7,2.7,142,251,287,396,0,0
"2020-07-26 0:41:00",198.2,339.8,0,14.1,85.6,0,44.6,52.7,2.7,144,253.2,284.8,394,0,0
"2020-07-26 0:42:00",202.3,335.7,0,15.9,83.9,0,44.6,52.7,2.7,151,257.2,280.8,387,0,0
"2020-07-26 0:44:00",199.6,338.4,0,14.56,85.115,0,44.6,52.7,2.7,143.8,254,284,394.2,0,0
"2020-07-26 0:50:00",199.6,338.4,0,14.56,85.115,0,44.6,52.7,2.7,143.8,254,284,394.2,0,0
"2020-07-26 0:56:00",201.1,336.9,0,15.1,84.6,0,44.6,52.7,2.7,146,256,282,392,0,0
"2020-07-26 1:00:00",200.3,337.7,0,16.2,83.3,0,44.6,52.7,2.7,144,259,279,394,0,0
"2020-07-26 1:01:00",200.3,337.7,0,16.2,83.3,0,44.6,52.7,2.7,144,259,279,394,0,0
"2020-07-26 1:02:00",200.3,337.7,0,16.2,83.3,0,44.6,52.7,2.7,144,259,279,394,0,0
"2020-07-26 10:46:00",202.2,335.8,0,14.3,85.1,0,44.6,52.7,2.7,150,256,282,388,0,0
"2020-07-26 10:47:00",197.9,340.1,0,14.3,85.2,0,44.6,52.7,2.7,142,253,285,396,0,0
"2020-07-26 10:49:00",197.8,340.2,0,13.5,86.5,0,44.6,52.7,2.7,144,247,291,394,0,0
"2020-07-26 10:52:00",197.5,340.5,0,14.6,85.2,0,44.6,52.7,2.7,139,254.2,283.8,399,0,0
"2020-07-26 10:53:00",202,336,0,17,83,0,44.6,52.7,2.7,147.8,261.2,276.8,390.2,0,0
"2020-07-26 10:55:00",197.6,340.4,0,13.5,86.1,0,44.6,52.7,2.7,145,250,288,393,0,0
"2020-07-26 10:57:00",200.3,337.7,0,15,84.7,0,44.6,52.7,2.7,145,256,282,393,0,0
"2020-07-26 10:58:00",198.5,339.5,0,15.9,83.8,0,44.6,52.7,2.7,142,258,280,396,0,0
"2020-07-26 11:08:00",202.7,335.3,0,14.9,84.6,0,44.6,52.7,2.7,147.8,256,282,390.2,0,0
"2020-07-26 11:33:00",196.2,341.8,0,11.9,87.7,0,44.6,52.7,2.7,145,251,287,393,0,0
"2020-07-26 11:37:00",197.7,340.3,0,12.4,87.2,0,44.6,52.7,2.7,145,246,292,393,0,0
"2020-07-26 11:40:00",209.7,328.3,0,18.9,80.9,0,44.6,52.7,2.7,152,266,272,386,0,0
"2020-07-26 11:44:00",198.1,339.9,0,15.3,84.1,0,44.6,52.7,2.7,142.8,255.2,282.8,395.2,0,0
"2020-07-26 11:45:00",201.3,336.7,0,14.6,85.3,0,44.6,52.7,2.7,143,256.2,281.8,395,0,0
"2020-07-26 11:47:00",199.7,338.3,0,14.3,85.6,0,44.6,52.7,2.7,146,255,283,392,0,0
"2020-07-26 11:51:00",201.1,336.9,0,14.8,84.9,0,44.6,52.7,2.7,148,255.2,282.8,390,0,0
"2020-07-26 11:52:00",204.2,333.8,0,17.7,82.1,0,44.6,52.7,2.7,145,263.2,274.8,393,0,0
"2020-07-26 11:57:00",200.1,337.9,0,15.6,84.1,0,44.6,52.7,2.7,143,256,282,395,0,0
"2020-07-26 11:59:00",200.2,337.8,0,16.1,83.8,0,44.6,52.7,2.7,140.8,259,279,397.2,0,0
"2020-07-26 12:02:00",200.3,337.7,0,15.2,84.2,0,44.6,52.7,2.7,143,257,281,395,0,0
"2020-07-26 12:06:00",201.6,336.4,0,15.4,84.5,0,44.6,52.7,2.7,143,254.2,283.8,395,0,0
"2020-07-26 12:09:00",200.3,337.7,0,16.3,83.4,0,44.6,52.7,2.7,141.8,257.2,280.8,396.2,0,0
"2020-07-26 12:12:00",203.5,334.5,0,16,83.7,0,44.6,52.7,2.7,148,258,280,390,0,0
"2020-07-26 12:16:00",201.3,336.7,0,15.7,84.1,0,44.6,52.7,2.7,147,257,281,391,0,0
"2020-07-26 12:17:00",200.3,337.7,0,16,83.8,0,44.6,52.7,2.7,146,257,281,392,0,0
"2020-07-26 13:16:53",202.4,335.6,0,15.2,84.4,0,44.9,52.4,2.7,143.8,259,279,394.2,0,0
"2020-07-26 13:21:11",202.9,335.1,0,15.3,84.5,0,42.3,55,2.7,148,255,283,390,0,0
"2020-07-26 13:22:22",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 13:22:57",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 13:24:41",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 13:25:38",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 13:28:36",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 13:29:10",200,338,0,14.3,85.1,0,47.3,50,2.7,141,257,281,397,0,0
"2020-07-26 13:32:00",199.6,338.4,0,14.56,85.115,0,44.9,52.4,2.7,143.8,254,284,394.200000000001,0,0
"2020-07-26 13:51:54",199.6,338.4,0,14.56,85.115,0,44.9,52.4,2.7,143.8,254,284,394.200000000001,0,0
"2020-07-26 13:56:06",199.6,338.4,0,14.56,85.115,0,44.9,52.4,2.7,143.8,254,284,394.200000000001,0,0
"2020-07-26 13:58:52",199.6,338.4,0,14.56,85.115,0,44.9,52.4,2.7,143.8,254,284,394.200000000001,0,0
"2020-07-26 14:02:16",199.6,338.4,0,14.56,85.115,0,44.9,52.4,2.7,143.8,254,284,394.200000000001,0,0
"2020-07-26 14:04:54",199.6,338.4,0,14.5592720363982,85.1157442127894,0,44.9,52.4,2.7,144,254,284,394,0,0
"2020-07-26 14:07:44",199.6,338.4,0,14.56,85.115,0,44.9,52.4,2.7,143.8,254,284,394.200000000001,0,0
"2020-07-26 14:32:55",200.8,337.2,0,15.16,84.51,0,44.6,52.7,2.7,145,256,282,393,0,0
"2020-07-26 14:35:26",199.6,338.4,0,14.56,85.115,0,44.9,52.4,2.7,143.8,254,284,394.200000000001,0,0
"2020-07-26 14:41:44",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 14:42:22",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 14:42:47",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 14:43:20",200.5,337.5,0,14.1,85.5,0,53.3,43.9,2.7,146,255,283,392,0,0
"2020-07-26 14:45:34",198.8,339.2,0,13.2,86.3,0,43.3,53.9,2.7,149,249,289,389,0,0
"2020-07-26 14:45:53",200,338,0,15.4,84,0,41.7,55.6,2.7,143.8,257.2,280.8,394.2,0,0
"2020-07-26 14:46:13",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 14:47:49",200.3,337.7,0,16.2,83.3,0,44.9,52.4,2.7,144,259,279,394,0,0
"2020-07-26 14:47:59",200.9,337.1,0,16.1,83.7,0,50.7,46.5,2.7,145.8,259,279,392.2,0,0
